	smoker	hbver	erytrocyty	alt	leukocyty	etytr	hemoglobin	ssn	name	trombocyty	alp	relationship	indicator	er-cv	weight	ast	hematokrit
2243	no	5.88592	8.75318	2.52230	8.07153	3.32543	5.43982	070-09-0737	Melissa Smith	5.03322	72.36759	married	1.00000	78.76577	42.73941	42.91538	7.99315
2244	yes	6.51599	7.30720	0.85143	6.48453	5.23158	5.86964	748-76-2176	Nicholas Burns	5.58727	78.87241	divoced	1.00000	59.53699	42.33580	29.43108	7.76298
2245	yes	6.98385	7.24715	0.76324	7.36882	6.31290	3.11110	172-70-3517	Mike Ross	6.46536	12.47719	married	0.00000	47.23660	51.27801	63.62372	10.42337
2246	no	6.69520	7.51433	0.72731	8.75162	3.71828	4.76892	346-32-9108	Sherry Reese	5.70981	48.06047	nop	1.00000	42.70621	33.02854	60.21066	4.95024
2247	yes	5.20683	7.63646	0.93511	6.60559	4.46745	6.00938	170-32-4837	Michael Robles	5.68044	86.73665	single	1.00000	55.04282	40.73761	59.36603	7.18855
2248	no	7.01278	6.04228	0.56129	8.11453	3.34272	5.72296	265-44-6804	Andrew Jacobs	6.44848	86.40391	divoced	0.00000	51.36795	95.31459	70.79621	3.74362
2249	no	5.72674	6.19418	0.73146	4.90353	5.73170	7.45369	388-06-4211	Michael Wilson	6.10701	60.50913	married	1.00000	31.00273	50.91210	68.07552	6.72099
2250	Y	7.53304	8.58000	1.98764	6.54811	6.51787	6.01183	116-59-2745	Sally Hernandez	5.69902	89.33605	single	0.00000	62.90327	78.61267	62.28617	4.80559
2251	no	5.63373	7.10399	0.54813	3.96137	4.66396	3.41054	399-76-9026	Lisa Vaughn	3.70585	10.85897	single	1.00000	40.74804	52.24705	41.05494	5.56345
2252	no	5.51919	7.73007	1.08204	7.67728	4.51409	6.13070	775-46-0748	Mitchell Moss	4.90753	86.16800	nop	1.00000	46.84914	82.77782	41.21882	6.87391
2253	no	5.78533	6.29213	0.29810	5.90800	5.63435	6.69367	535-37-2247	Charles Lopez	5.35977	88.48461	nop	1.00000	52.11637	58.91381	35.32263	7.13373
2254	yes	5.13553	6.65300	0.64850	3.80974	4.72080	4.67220	846-79-1452	Dennis Kelly	7.04957	44.48501	divoced	1.00000	48.51037	90.03505	42.41208	7.78390
2255	no	8.26306	7.79181	0.91812	4.43308	5.17058	3.86328	209-96-3626	Tammy Lawrence	4.40856	22.11845	divoced	1.00000	46.70766	36.36487	59.17154	7.80111
2256	no	5.45078	4.09326	0.40388	6.11901	4.77756	3.70785	670-05-3122	Brandon Holland	5.39834	20.29606	divoced	0.00000	45.55215	119.22174	56.91310	5.50521
2257	no	6.48082	5.48974	0.73988	4.89705	4.59292	5.03378	169-91-7502	Donald Chapman	6.47583	64.50532	divoced	0.00000	61.29217	129.96117	61.39713	6.71476
2258	Y	6.35846	6.40334	0.76583	5.40471	5.95838	9.89697	881-84-0591	Caroline Miller	6.48688	15.58070	separated	1.00000	44.97815	97.87276	38.75094	7.08929
2259	Y	6.10749	7.95790	1.28503	5.72356	3.96114	5.08207	115-93-1785	Mark Foster	5.69313	61.38749	married	1.00000	30.38158	-49.10959	61.14341	7.72749
2260	no	5.19322	6.97953	0.80643	5.61412	7.65189	7.50907	731-54-4268	Charles Cook	6.95722	63.70230	single	1.00000	37.15887	71.42239	42.26154	5.27192
2261	Y	4.97205	7.93516	1.15775	7.10271	4.48632	7.30415	313-09-7644	Alexander Robinson	5.70687	68.79098	married	1.00000	58.17113	82.83147	21.18951	7.02993
2262	no	7.82763	8.33824	1.62880	6.02145	5.48468	6.94258	508-15-6483	Maria Cunningham	5.87650	73.98931	nop	0.00000	59.74027	112.28660	35.51026	4.00646
2263	no	4.91804	4.50793	0.68699	8.23434	4.28622	6.76953	675-53-7925	Alan Crawford	6.25512	82.15323	single	0.00000	57.37951	64.15800	64.75792	4.30877
2264	no	6.33994	5.85603	0.54425	7.07672	4.85399	7.72620	426-28-6568	Eric Turner	4.45791	53.64848	married	1.00000	53.39742	96.18645	59.07896	10.11234
2265	yes	3.80189	7.70797	0.90030	5.97344	4.54013	7.00035	167-37-6059	John Parks	5.79125	79.55837	married	1.00000	50.51801	121.56805	43.86770	7.70339
2266	no	6.27594	3.25459	0.72787	6.43476	5.62093	6.15691	839-55-3936	Paula Lang	7.98812	88.62985	divoced	0.00000	28.69967	98.59615	51.41563	5.98767
2267	no	6.12584	8.71935	2.12876	7.70040	5.01893	6.50689	222-64-5273	Janet Graves	7.60105	86.47352	divoced	1.00000	44.26060	22.60155	37.21629	8.31259
2268	no	5.30285	8.13814	1.64175	6.69666	4.16791	6.47185	253-06-5413	Lori Barron	6.07632	83.70834	married	1.00000	53.90829	12.00914	53.31188	6.95770
2269	no	5.93972	7.19236	0.71843	5.54756	4.84286	7.51583	264-34-0706	James Bryant	6.05800	63.56558	single	0.00000	53.18703	43.59729	39.16384	7.28856
2270	no	6.81814	6.90940	0.75812	7.23517	4.91205	6.41100	354-61-2481	Kimberly Dixon	7.13568	90.81907	single	1.00000	43.71755	82.44203	50.68919	8.98108
2271	no	6.37884	8.33977	1.46811	6.25684	1.99912	7.06836	366-04-4074	Sherry Rowe	6.99401	73.90438	divoced	0.00000	37.60653	91.30448	28.00537	2.14106
2272	yes	6.46455	7.11722	0.43950	6.76908	4.76291	6.18639	581-75-0085	Kristen Newman	6.32788	86.81260	married	1.00000	45.04695	30.07317	65.48489	7.13835
2273	no	5.49612	7.11597	0.82341	6.33996	3.76537	4.93592	397-20-1270	Robert Flores	7.11335	49.22039	married	0.00000	55.78047	90.03909	51.34865	5.19865
2274	yes	4.87671	6.88348	0.82762	5.05271	4.90766	5.34474	894-29-3017	Michael Alvarez	6.25892	76.41619	divoced	1.00000	52.96793	89.51396	37.96799	7.66704
2275	yes	4.79210	2.79160	0.61200	3.33093	6.06156	4.94519	171-66-5107	Mitchell Ellis	5.58749	61.36615	single	0.00000	55.84150	27.19573	56.14165	6.30876
2276	Y	4.94228	5.67092	0.74304	7.55971	5.09835	4.55756	135-10-7314	Robert Walter	6.36198	46.11929	nop	0.00000	66.35513	119.89853	57.95060	4.87720
2277	Y	7.44660	7.65315	1.28158	5.86127	5.10656	3.10503	209-72-3675	Samuel Solis	6.18138	11.87100	single	1.00000	71.22849	63.72356	40.51575	8.34421
2278	Y	6.06875	5.68453	0.58818	3.90764	5.87943	6.89656	513-39-9691	Jocelyn Kelly	7.03818	84.46671	divoced	1.00000	45.02880	93.78428	64.44051	8.14506
2279	no	5.60883	5.52291	0.36790	8.69583	8.60219	8.81101	722-20-3615	Adrian Mendoza	6.77542	22.71714	divoced	0.00000	82.88997	32.38131	37.04856	5.23961
2280	no	7.29644	5.77996	0.35060	5.69852	6.11814	7.94402	067-90-2769	Michelle Cooley	5.76160	44.10521	single	1.00000	74.75404	0.91239	55.59493	6.99887
2281	yes	5.55883	7.80659	0.99255	6.54671	4.88581	7.22808	149-43-9767	Harry Mills	7.61290	71.66476	married	0.00000	44.56531	142.48075	52.03301	7.80954
2282	no	8.25076	7.44457	0.92273	4.12277	7.44548		800-38-7175	Mark Dixon	7.04074	88.74604	married	0.00000	31.49978	63.81702	45.88566	4.19165
2283	no	6.46785	8.36348	1.30018	8.05364	3.84433	7.14920	631-26-2818	Kenneth Wood	7.25099	71.39097	widowed	1.00000	21.78094	23.33635	53.90213	7.55836
2284	no	5.84034	7.73775	1.17117	5.86046	4.86694	4.96731	169-58-0851	Yvonne Wu	6.29138	60.49664	divoced	1.00000	31.36997	88.37549	35.13633	7.09233
2285	Y	5.82451	7.76995	1.13136	7.36109	7.10415	6.86117	576-55-2778	Brandon Hammond	8.22464	82.12367	single	0.00000	55.88806	23.54400	83.86538	5.28473
2286	Y	7.67317	7.32843	0.97420	7.92300	5.23710	2.08766	159-02-7098	Timothy Green	8.79763	28.14840	married	1.00000	71.46619	82.41436	37.50039	8.64105
2287	no	7.40735	7.17719	0.47051	7.02538	5.05102	7.55692	702-95-5469	Christina Anderson	6.72103	63.75744	single	1.00000	67.17129	-6.63887	40.99041	6.93366
2288	no	6.57298	7.85049	0.90603	6.68157	4.93432	6.03891	371-86-1818	Brian Lindsey	5.71452	80.34867	married	1.00000	51.32341	55.56967	55.71441	9.56580
2289	no	5.42544	6.87646	1.00561	5.88275	4.86609	3.49635	702-95-5469	Christina Anderson	5.09081	8.44367	divoced	1.00000	29.85526	71.20785	62.83116	7.04163
2290	Y	6.40357	8.09632	1.40797	7.30926	4.40456	5.57494	551-65-0178	Ana Buckley	6.40514	77.78090	married	1.00000	67.00390	30.85704	61.36218	5.87917
2291	Y	5.00847	5.21201	0.43278	6.12628	4.96505	5.53199	268-46-8743	Daniel Garcia	5.99758	74.15912	married	0.00000	58.43630	59.70872	59.86404	4.03876
2292	no	5.25092	7.18188	0.93415	6.35794	4.28386	5.93374	841-93-1440	Gregory Luna	7.11471	93.89585	nop	1.00000	44.62115	87.02410	72.21686	6.56118
2293	yes	6.27726	5.28989	0.29467	4.19986	4.76636	6.23013	440-88-1608	Haley Rodriguez	6.81969	89.31022	separated	0.00000	60.98054	41.26863	69.21214	3.90812
2294	no	5.36138	6.41283	0.42809	5.90528	4.41204	6.79390	757-81-5256	Raymond Riley	5.72733	77.69865	divoced	1.00000	38.63415	81.90707	46.09333	5.79312
2295	Y	7.30105	4.37368	0.48970	6.46298	2.55317	6.03751	212-27-6211	Roger Powers	6.16612	83.98960	nop	0.00000	76.69963	45.31214	52.21738	5.71087
2296	Y	7.34452	9.45143	4.04671	6.73245	5.79169	4.97150	667-92-5649	Jamie Gay	3.72329	58.41016	single	0.00000	57.87621	91.07376	38.32128	3.87720
2297	yes	7.42139	7.89392	1.08192	6.36166	6.96642	5.99151	300-11-1833	Deborah Jones	8.14525	86.46289	married	0.00000	67.65585	27.30581	49.56429	3.35138
2298	yes	4.54777	6.48205	0.57755	7.01702	5.36208	6.23490	254-12-7712	Michael Padilla	5.30907	84.59831	single	1.00000	40.86740	72.25983	40.38752	7.52386
2299	no	4.06069	7.62095	0.93686	7.06247	7.41345	6.14966	853-13-5176	Andre Mendoza	7.28227	85.34255	married	0.00000	47.38578	118.61084	53.77052	3.66493
2300	no	4.02635	6.47020	0.50094	6.19817	5.36200	7.76210	142-13-5675	Courtney Townsend	6.40734	55.15619	separated	1.00000	54.86173	88.96880	45.87344	7.84292
2301	Y	5.99876	4.66470	0.17019	4.67988	4.71610	5.70174	198-50-1848	Chelsea Orr	4.94789	82.31486	married	0.00000	47.20608	136.25207	60.69912	4.87073
2302	Y	4.37016	2.70883	0.49662	6.35421	6.70809	4.72193	323-13-2833	Nancy Moore	6.10525	52.28878	married	0.00000	47.34612	71.22706	42.30598	6.10480
2303	no	6.40687	5.26134	0.42750	8.32713	5.91260	3.99580	884-16-7754	Stephanie Mendez	6.30871	27.15051	separated	1.00000	32.45939	88.88792	59.15235	11.48561
2304	Y	6.75591	7.84108	1.28209	4.92248	4.33282	6.46756	279-34-8856	Matthew Williams	6.26638	91.79441	separated	1.00000	40.69214	35.49700	30.90971	6.98627
2305	no	4.86356	8.71610	2.09505	5.95759	4.37684	7.91334	458-33-2800	Matthew Long	5.71070	46.58590	separated	0.00000	47.69625	25.93973	64.23018	5.36315
2306	no	5.77784	5.96094	0.70926	7.13239	4.53122	3.51221	574-59-2279	Jennifer Cook	5.30271	6.63372	divoced	0.00000	64.25964	120.51913	53.92635	4.13575
2307	N	6.70546	7.65856	0.99571	6.39528	6.39491	7.36345	577-04-3325	Kristen Callahan	7.24170	64.12414	married	0.00000	40.94198	71.85291	44.27077	4.55947
2308	no	5.59260	6.96690	0.86150	6.45318	5.27659	5.97362	370-95-9585	Janet Vazquez	6.04552	90.54255	single	1.00000	61.30553	69.51243	69.42820	8.17651
2309	no	4.32368	5.99769	0.57965	5.77533	2.35793	6.28312	690-10-3359	James Ramirez	5.04707	87.13721	married	0.00000	52.94183	75.13850	64.97159	4.82442
2310	Y	6.42150	7.04951	0.57788	7.03959	4.83329	3.81064	768-08-6734	Ian George	5.48220	16.31716	single	1.00000	75.58841	58.77207	76.01348	7.70189
2311	no	5.17676	7.92640	1.21320	6.58728	4.08535	6.98439	192-77-2473	Ruth Wood	5.55845	72.96776	married	1.00000	57.11710	9.79638	25.65647	5.01695
2312	no	7.50991	4.50710	0.64650	5.30608	6.13144	6.60346	875-40-2323	Christopher Perez	7.19740	88.02338	widowed	0.00000	51.69251	138.08644	16.87283	4.78109
2313	no	7.22677	6.12317	0.62781	5.25315	5.19132	4.92187	322-58-0233	Kenneth Evans	5.47285	55.08613	divoced	1.00000	51.38153	38.10344	35.22614	9.21068
2314	no	6.00513	6.22138	0.76901	7.99326	4.96898	4.05593	296-91-4435	Holly Sherman	4.01266	22.31163	single	1.00000	66.36680	58.77697	37.91724	8.42712
2315	no	7.10704	8.31493	1.67756	6.26709	4.84438	5.58254	415-84-4234	Valerie Gonzalez	7.06108	75.77521	married	1.00000	48.48332	122.32062	23.53721	7.41166
2316	no	4.21771	6.63310	0.58778	6.68035	5.59727	8.18665	240-60-6399	Steven Thomas	5.29070	34.99736	separated	1.00000	49.66023	112.13013	50.87440	7.31851
2317	yes	5.61591	8.25613	1.37597	6.86476	4.07677	6.79497	491-59-4980	Leslie Higgins	7.70208	80.12313	nop	1.00000	45.40862	29.61838	29.63998	7.44598
2318	yes	5.07225	7.24597	0.82059	5.50197	5.53718	3.70725	432-70-6683	Ashley Davis	5.86753	14.63688	widowed	1.00000	68.11497	88.42721	53.91750	7.93403
2319	yes	4.83338	6.71901	0.60602	5.88213	4.55231	3.98142	554-76-7770	Stephanie Rivas	6.86745	20.44366	separated	1.00000	74.57317	8.11254	38.12684	4.72086
2320	yes	7.15460	7.78941	0.91465	4.99551	5.76328	5.45324	277-20-8844	Matthew Figueroa	5.41566	78.93825	nop	1.00000	56.50964	134.58154	68.65939	9.53288
2321	Y	7.34365	5.78630	0.52721	6.22907	4.24555	5.50148	515-69-6622	Kevin Mcdowell	7.03858	79.00736	divoced	1.00000	38.68094	65.28466	23.98947	5.77152
2322	yes	5.93348	7.45083	0.96677	5.35406	4.79698	7.23351	229-42-4198	David Smith	6.03485	72.09243	separated	0.00000	62.25431	50.29890	35.59053	7.18843
2323	Y	5.18921	7.46219	1.02214	6.15642	4.82547	7.81856	591-83-0928	Joseph Davila	6.00073	44.81089	married	1.00000	50.74120	118.61530	50.35122	7.05862
2324	Y	5.57094	4.74679	0.60776	5.34814	4.47987	5.08127	782-18-1509	Denise Kane	6.77632	67.85413	divoced	0.00000	31.66584	97.25298	53.31473	5.11267
2325	no	5.16889	7.86180	1.11570	4.28825	5.18207	5.09384	674-74-1282	Jessica Chandler	5.78193	60.88786	single	1.00000	50.84140	144.63536	38.17362	8.38790
2326	no	6.43901	4.17458	0.32053	6.07073	5.26152	4.15039	165-09-4742	Jenny Kirk	8.14164	25.30618	divoced	0.00000	41.43735	110.47099	51.24827	5.42987
2327	Y	4.98117	6.16684	0.75467	5.46837	4.62353	5.03875	399-09-9068	Francisco Howell	7.77997	60.03111	separated	1.00000	52.23649	60.16073	48.18589	6.71254
2328	no	7.37558	5.51445	0.36491	6.42997	3.22937	5.53706	208-33-4175	Logan Dennis	6.02466	78.92698	widowed	0.00000	55.63375	57.08998	45.11995	4.46633
2329	no	6.77088	8.64056	2.17865	6.28977	3.92168	6.15604	625-74-2296	Robert Davis	5.97554	85.86220	divoced	1.00000	60.99157	27.81448	43.97752	6.93898
2330	N	6.07234	7.09648	0.69840	6.01906	4.53916	5.68403	724-25-9425	Monique Knight	6.44989	74.86012	separated	1.00000	65.94962	53.69072	46.08352	7.57356
2331	no	5.83250	5.02188	0.34676	6.58730	4.91172	5.56594	758-09-2582	Morgan Robinson	9.02518	77.10737	nop	0.00000	49.14393	77.30210	55.07871	4.49459
2332	yes	7.40045		0.98614	5.67735	3.36609	5.27001	388-70-2293	Lisa Church	5.96756	68.84447	single	1.00000	46.19004	53.24205	64.55370	4.99816
2333	no	7.83439	5.82754	0.48977	5.02719	5.08029	4.21581	107-78-1079	Adam Williams	7.02829	28.42382	married	1.00000	47.46987	133.09107	48.73747	7.81768
2334	yes	5.06330	5.64719	0.60106	5.90588	3.32664	6.43353	116-55-4980	Sarah Fox	4.91123	83.81000	nop	0.00000	63.22529	30.93082	48.02441	3.67089
2335	Y	7.04057	7.57023	1.08383	4.35077	4.59211	8.38327	656-65-8120	Jeffrey Duran	4.86559	36.89464	widowed	1.00000	50.35602	66.90353	47.23267	7.76975
2336	no	6.96559	7.27157	0.76811	6.52314	5.41872	3.35122	055-62-6231	Carolyn Reese	7.29076	5.06876	single	1.00000	52.45313	32.54067	54.71816	6.35144
2337	no	4.36896	6.49879	0.83490	7.08336	5.82821	9.36384	096-42-7901	Steven Holden	6.55501	11.66298	widowed	1.00000	53.90679	28.73224	33.41335	6.45914
2338	N	6.44053	8.07969	1.24507	6.12999	5.26971	1.04001	382-59-4825	Jason Duke	6.74365	67.10283	single	1.00000	56.50041	48.80433	32.37479	6.61538
2339	Y	6.77557	3.52636	0.47031	7.48273	4.96889	6.59974	399-09-9068	Francisco Howell	5.73821	85.40413	widowed	0.00000	70.45216	86.12683	65.58788	5.08774
2340	no	8.55156	5.30078	0.55921	6.09157	6.44189	8.08283	003-19-0511	Rhonda Edwards	6.32043	33.09835	nop	1.00000	56.40073	-3.10600	35.40512	6.91780
2341	no	6.67278	7.84667	1.37449	6.09945	4.72394	5.28492	753-95-2442	Amanda Robinson	7.25342	74.15227	single	0.00000	52.64543	46.82407	62.46363	5.22052
2342	yes	5.06742	6.28746	0.69154	5.16792	7.31776	9.00888	499-21-3507	Kathryn Knight	7.06063	10.27211	divoced	0.00000	54.81880	161.68288	58.42227	5.61005
2343	no	5.66205	6.25302	0.60684	7.21583	4.41204	4.65673	246-59-6972	Ashley White	6.64827	45.81660	divoced	1.00000	50.85272	50.82538	36.19940	5.65168
2344	yes	4.15917	4.57372	0.42131	6.70444	3.79142	2.86990	023-92-8127	Tristan Day	7.38497	11.93024	nop	0.00000	72.98821	74.00546	59.37831	5.87602
2345	no	7.31478	2.37744	0.20875	5.90078	6.21930	5.35106	533-21-3579	Mary White	6.99385	68.13643	single	0.00000	56.68026	-8.56436	45.23367	5.98753
2346	no	6.95649	10.23285	8.10138	4.82896	2.56536	7.51516	742-37-3488	Michele Morris	6.01511	61.25876	divoced	1.00000	46.37650	91.33759	51.26398	7.50619
2347	no	5.63636	7.32353	1.08589	8.13022	6.03199	8.69550	386-81-6023	Daniel Wood	6.31632	12.55947	single	0.00000	54.22872	105.54842	57.87902	5.79767
2348	yes	5.59219	8.18228	1.64062	5.27261	6.09432	6.79469	306-69-5844	Gerald Bray	6.49173	86.16877	single	0.00000	38.74346	67.95509	46.57831	4.38066
2349	yes	6.16959	6.33014	0.53840	6.82741	5.60052	6.59801	858-42-3682	Laurie Hardy	6.67278	81.89427	married	1.00000	60.34961	70.19939	31.32505	7.24972
2350	N	7.34873	5.91053	0.64827	6.95684	6.12000	8.96483	625-51-7347	Brian Reyes	6.58451	14.19709	married	1.00000	40.10368	70.27684	61.89913	6.72881
2351	N	7.54814	2.16224	0.70856	4.43406	4.84201	7.40619	517-86-7058	Sandra Cantrell	6.68931	64.04451	single	0.00000	56.76501	78.75412	59.50695	6.66243
2352	no	5.43203	6.82978	0.56920	5.46701	5.40917	8.55388	005-47-6903	Timothy Barajas	4.50225	21.66244	widowed	1.00000	33.30039	82.49027	44.82134	7.28207
2353	N	5.07820	6.64291	0.65829	5.36981	6.04789	4.12921	631-42-3589	Courtney Allen	7.24791	26.32681	married	1.00000	31.24294	62.31905	36.94137	10.87799
2354	Y	5.39599	8.27459	1.52664	5.62910	3.96934	6.02966	005-12-4180	Craig Harmon	6.01084	83.63962	separated	1.00000	32.27226	85.95044	28.27557	7.39167
2355	Y	5.84136	7.02393	0.94207	5.65329	5.76434	3.41709	036-90-1492	Aaron Martin	4.83722	16.11062	widowed	1.00000	64.70784	83.58993	46.94654	7.61671
2356	Y	6.13648	7.64715	1.25853	5.94553	4.55768	7.11358	646-30-6845	Chelsea Wilson	6.15632	76.52110	separated	1.00000	57.47614	38.64432	49.09772	7.19719
2357	no	5.44813	5.70101	0.33411	5.55478	6.28814	3.12733	301-96-6233	Mark Burnett	6.46745	20.17086	divoced	0.00000	61.62192	72.25736	51.87767	4.84929
2358	yes	6.80398	8.79290	2.59325	6.46917	5.18141	5.56026	411-92-9782	Christopher Rodriguez	4.89714	73.02758	single	1.00000	70.73281	63.15316	41.65156	8.44092
2359	Y	5.63255	6.51779	0.62270	6.42541	4.72188	4.99840	264-23-6335	Victor Johnson	5.11067	54.86179	single	1.00000	66.97676	92.74066	59.54407	7.28796
2360	yes	5.35283	4.18630	0.16986	6.54765	7.28585	8.56714	026-30-1223	Angela Goodwin	5.24267	23.65782	married	0.00000	58.43218	20.10394	70.77551	8.19493
2361	no	6.26559	6.85599	0.74757	4.83726	5.19737	7.30515	317-35-4281	Susan Dickerson	6.81581	73.11084	single	1.00000	54.61307	117.13778	39.94444	7.14105
2362	Y	5.71337	8.61887	2.17083	7.98493	5.06624	3.08571	404-63-9244	John Gray	6.55816	7.84976	divoced	1.00000	66.97657	74.09294	54.24681	8.03304
2363	Y	5.97720	6.26221	0.60076	5.31541	5.79237	8.44433	593-17-0005	Christopher Park	7.99198	23.45540	single	1.00000	54.37305	30.27076	38.05669	7.29313
2364	Y	7.01420	9.01068	2.62043	6.45230	3.59968	7.70085	005-07-2910	Matthew Marquez	5.11314	57.49559	nop	1.00000	45.69948	102.25483	59.15765	6.38245
2365	yes	5.46732	6.23105	0.57422	5.66716	3.23931	4.61103	412-58-2589	Holly Gomez	6.21655	44.66767	married	0.00000	63.26849	39.25713	63.43348	3.80888
2366	no	6.12467	8.45969	1.72263	6.54141	4.00357	6.83420	051-28-9076	Ashley Harris	6.23173	80.95931	married	1.00000	87.98338	44.69000	56.69126	7.44100
2367	yes	6.04436	6.26046	0.57349	6.64016	5.37656	5.69460	352-34-2022	Joshua Chang	6.90190	80.96260	single	1.00000	39.74625	110.09362	51.38205	7.85519
2368	no	7.49739	8.51340	1.93352	5.39555	6.07847	6.25079	882-54-2903	Megan Martin	5.47571	83.63432	widowed	0.00000	35.23425	42.19496	55.49093	4.29597
2369	yes	3.96221	3.60819	0.33491	6.09678	4.73707	5.33063	780-82-7241	Kelsey Roberts	7.08028	71.52562	nop	0.00000	33.81390	44.27054	46.34647	6.04046
2370	yes	4.94387	7.00906	0.80159	6.30890	7.45711	7.48931	888-30-4909	Michael Patterson	7.40746	63.91207	single	0.00000	31.25145	113.57727	55.90766	4.88792
2371	Y	5.37421	6.40061	0.41188	4.57816	3.86525	8.08362	812-24-5669	Victoria Durham	5.63977	37.02867	divoced	1.00000	32.67966	84.01448	58.75177	5.37554
2372	Y	6.07596	6.29129	0.57265	5.59646	4.71942	4.32874	299-69-6283	Chad Dean	6.59739	33.70132	single	1.00000	78.05744	54.69445	34.73748	7.97298
2373	no	5.06316	3.68138	0.37516	5.34343	6.23276	4.10633	527-35-2254	Larry Greene	4.41165	29.06036	separated	0.00000	36.56118	3.80638	62.96566	4.87307
2374	no	6.78282	7.49716	1.16741	6.99678	4.71305	7.22749	305-77-9543	Amber Meyers	5.10711	69.29258	widowed	1.00000	51.28879	-30.27052	32.80320	7.91666
2375	yes	6.49418	7.44313	0.88249	4.91729	5.41242	5.68031	141-84-3599	Benjamin Miller Jr.	7.25202	83.53822	divoced	1.00000	66.77843	67.99331	40.14857	9.45213
2376	yes	5.05140	5.53934	0.39609	5.78523	6.13540	8.50606	319-94-0593	Kim Marquez	5.09561	30.49423	married	1.00000	55.50242	93.52007	38.94394	7.06929
2377	Y	6.48666	8.16943	1.47968	5.16776	5.77481	4.82733	832-04-1772	Michael Johnson	6.03981	56.35001	married	1.00000	60.29922	93.60935	49.16762	8.72631
2378	no	5.11507	7.02905	0.39944	6.86346	4.62170	4.52020	473-16-7435	Casey Marks	4.08773	51.44116	married	1.00000	40.88826	43.65392	40.00281	6.35604
2379	yes	6.31014	6.31337	0.62658	5.79535	8.64813	7.56108	089-64-1359	William Hopkins	6.09803	57.23450	divoced	0.00000	44.79565	121.82669	45.93260	5.12451
2380	no	6.26876	8.35336	1.66581	5.41125	3.96469	6.27434	656-65-8120	Jeffrey Duran	4.86186	88.97786	married	1.00000	48.81348	19.48326	66.74422	7.29407
2381	no	6.85506	6.95441	0.79036	6.30419	3.88322	3.55084	643-84-6274	Alexander Spencer	5.82161	14.95311	nop	1.00000	7.99423	85.36496	49.00557	5.67092
2382	yes	5.74963	8.48185	1.66399	6.93580	5.83616	3.07876	399-76-9026	Lisa Vaughn	5.47173	10.55871	divoced	1.00000	48.20821	29.62499	49.75454	9.05490
2383	no	7.81616	6.71954	0.63978	7.46497	5.75655	2.77493	522-37-1620	Jamie Cowan	7.65359	19.47225	divoced	1.00000	52.13492	2.72758	53.93336	8.00488
2384	no	7.03053	7.86347	1.33472	6.77156	4.61875	6.14852	733-99-5810	Joshua Gonzales	6.86348	85.83545	married	1.00000	9.74309	46.77655	42.35237	6.05397
2385	no	5.30237	5.51487	0.35011	5.83104	6.38115	9.44374	228-57-0207	Ashley Park	4.46127	12.21526	widowed	1.00000	46.81903	31.92201	53.08979	7.71137
2386	yes	6.05234	6.21815	0.39391	5.90464	4.44685	4.56374	160-12-3268	Elizabeth Burnett	5.89932	39.82950	single	1.00000	89.49718	49.83273	34.09044	7.59640
2387	no	5.96793	9.50677	4.22643	6.93440	3.07549	5.98499	348-04-6142	Kyle Gilbert	5.50157	88.16729	married	1.00000	39.44144	56.78043	50.93927	7.22721
2388	Y	5.96006	7.60265	1.07244	7.21275	4.56046	4.85403	365-06-3193	Kaitlin Rivera	6.42873	55.70536	married	1.00000	56.76568	86.89468	50.09699	6.46455
2389	no	6.61292	6.26081	0.58319	4.93898	5.66997	8.20937	746-99-0165	Christopher Hill	6.26486	32.51791	separated	1.00000	51.43519	-3.47913	40.95320	7.39043
2390	N	6.44384	8.02495	1.30512	6.01039	4.05889	5.97179	667-98-4880	Joshua Williams	6.74642	89.32067	widowed	1.00000	46.00317	69.29985	52.76944	7.48595
2391	Y	6.60193	6.62785	0.78804	5.93402	8.74336	6.78765	043-32-3116	Dawn Brown	6.33321	80.70612	divoced	0.00000	69.93891	147.84177	58.10839	4.47766
2392	no	6.06447	5.22540	0.64940	5.57416	6.37415	6.61072	088-09-8829	Katherine Green	6.01193	80.85844	married	1.00000	33.14035	60.01664	48.29834	7.80635
2393	no	5.17398	6.94940	0.66392	5.10146	2.95075	7.37851	382-51-7360	Sandra Cox	4.65257	66.37444	divoced	0.00000	47.65459	16.31947	40.15378	3.64571
2394	no	6.90871	8.31178	1.63970	5.64755	6.85764	5.91048	400-61-4407	Jason Reed	6.87823	85.42004	married	0.00000	62.09518	47.72196	47.66842	4.34952
2395	no	6.76647	6.76913	0.62256	6.08881	4.76980	4.58598	408-81-6913	Lori Martinez DDS	7.13581	42.50138	single	1.00000	44.75708	13.22542	37.42008	8.26247
2396	no	7.97545	9.24253	3.18772	7.19985	6.74005	4.11259	553-90-5006	Sheila Smith	7.99686	24.06635	widowed	1.00000	57.66159	125.58941	29.57981	3.05800
2397	no	5.58617	5.24040	0.72944	6.55802	4.93358	5.18963	389-69-9139	Matthew Myers	6.79286	64.46097	divoced	0.00000	53.05078	86.53705	44.64939	5.11030
2398	N	5.77005	6.50015	0.52976	5.89235	5.14425	6.50084	458-33-2800	Matthew Long	8.82679	87.51778	nop	1.00000	54.69723	115.21171	45.56370	8.07388
2399	Y	5.89134	8.54670	1.86446	7.26943	3.86850	6.46389	577-26-4889	Tiffany Diaz	6.35790	83.61667	separated	1.00000	44.60750	141.35581	40.72420	7.00570
